city,country,latitude,longitude,year,month,pm25_ugm3,no2_ugm3,data_quality,measurement_method,data_source
New York,USA,40.7128,-74.006,2001,9,16.34,27.78,Good,Reference/Equivalent Method,EPA_AQS
New York,USA,40.7128,-74.006,2001,10,7.63,14.33,Moderate,Reference/Equivalent Method,EPA_AQS
New York,USA,40.7128,-74.006,2001,11,12.19,24.98,Poor,Reference/Equivalent Method,EPA_AQS
New York,USA,40.7128,-74.006,2001,12,12.5,21.82,Moderate,Reference/Equivalent Method,EPA_AQS
New York,USA,40.7128,-74.006,2002,1,14.14,14.28,Good,Reference/Equivalent Method,EPA_AQS
New York,USA,40.7128,-74.006,2002,2,14.17,38.51,Moderate,Reference/Equivalent Method,EPA_AQS
New York,USA,40.7128,-74.006,2002,3,31.55,41.05,Moderate,Reference/Equivalent Method,EPA_AQS
New York,USA,40.7128,-74.006,2002,4,16.91,45.85,Good,Reference/Equivalent Method,EPA_AQS
New York,USA,40.7128,-74.006,2002,5,37.46,49.02,Good,Reference/Equivalent Method,EPA_AQS
New York,USA,40.7128,-74.006,2002,6,12.59,26.15,Good,Reference/Equivalent Method,EPA_AQS
New York,USA,40.7128,-74.006,2002,7,30.02,47.78,Good,Reference/Equivalent Method,EPA_AQS
New York,USA,40.7128,-74.006,2002,8,18.48,30.2,Good,Reference/Equivalent Method,EPA_AQS
New York,USA,40.7128,-74.006,2002,9,8.3,25.07,Poor,Reference/Equivalent Method,EPA_AQS
New York,USA,40.7128,-74.006,2002,10,11.68,27.44,Moderate,Reference/Equivalent Method,EPA_AQS
New York,USA,40.7128,-74.006,2002,11,13.16,36.42,Poor,Reference/Equivalent Method,EPA_AQS
New York,USA,40.7128,-74.006,2002,12,12.55,23.88,Good,Reference/Equivalent Method,EPA_AQS
New York,USA,40.7128,-74.006,2003,1,15.64,13.28,Moderate,Reference/Equivalent Method,EPA_AQS
New York,USA,40.7128,-74.006,2003,2,24.73,14.84,Good,Reference/Equivalent Method,EPA_AQS
New York,USA,40.7128,-74.006,2003,3,40.85,22.12,Good,Reference/Equivalent Method,EPA_AQS
New York,USA,40.7128,-74.006,2003,4,27.49,48.88,Good,Reference/Equivalent Method,EPA_AQS
New York,USA,40.7128,-74.006,2003,5,32.84,44.27,Good,Reference/Equivalent Method,EPA_AQS
New York,USA,40.7128,-74.006,2003,6,31.71,31.14,Moderate,Reference/Equivalent Method,EPA_AQS
New York,USA,40.7128,-74.006,2003,7,25.03,36.34,Good,Reference/Equivalent Method,EPA_AQS
New York,USA,40.7128,-74.006,2003,8,25.89,27.0,Good,Reference/Equivalent Method,EPA_AQS
New York,USA,40.7128,-74.006,2003,9,6.72,32.63,Moderate,Reference/Equivalent Method,EPA_AQS
New York,USA,40.7128,-74.006,2003,10,5.9,27.24,Good,Reference/Equivalent Method,EPA_AQS
New York,USA,40.7128,-74.006,2003,11,18.76,16.68,Moderate,Reference/Equivalent Method,EPA_AQS
New York,USA,40.7128,-74.006,2003,12,15.63,34.38,Good,Reference/Equivalent Method,EPA_AQS
New York,USA,40.7128,-74.006,2004,1,17.14,15.16,Poor,Reference/Equivalent Method,EPA_AQS
New York,USA,40.7128,-74.006,2004,2,36.3,20.39,Moderate,Reference/Equivalent Method,EPA_AQS
New York,USA,40.7128,-74.006,2004,3,37.73,31.53,Good,Reference/Equivalent Method,EPA_AQS
New York,USA,40.7128,-74.006,2004,4,18.82,19.5,Moderate,Reference/Equivalent Method,EPA_AQS
New York,USA,40.7128,-74.006,2004,5,40.55,39.73,Good,Reference/Equivalent Method,EPA_AQS
New York,USA,40.7128,-74.006,2004,6,19.97,43.96,Moderate,Reference/Equivalent Method,EPA_AQS
New York,USA,40.7128,-74.006,2004,7,31.83,44.87,Moderate,Reference/Equivalent Method,EPA_AQS
New York,USA,40.7128,-74.006,2004,8,8.7,21.75,Moderate,Reference/Equivalent Method,EPA_AQS
New York,USA,40.7128,-74.006,2004,9,17.97,15.22,Good,Reference/Equivalent Method,EPA_AQS
New York,USA,40.7128,-74.006,2004,10,18.07,13.58,Good,Reference/Equivalent Method,EPA_AQS
New York,USA,40.7128,-74.006,2004,11,16.82,29.45,Moderate,Reference/Equivalent Method,EPA_AQS
New York,USA,40.7128,-74.006,2004,12,11.9,28.98,Good,Reference/Equivalent Method,EPA_AQS
New York,USA,40.7128,-74.006,2005,1,16.71,30.78,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2005,2,35.4,31.11,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2005,3,13.2,25.91,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2005,4,18.88,48.38,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2005,5,40.23,39.63,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2005,6,24.69,38.59,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2005,7,13.21,42.83,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2005,8,7.32,37.63,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2005,9,24.6,43.42,Moderate,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2005,10,12.54,13.85,Moderate,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2005,11,14.41,36.21,Poor,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2005,12,26.25,18.98,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2006,1,30.81,20.15,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2006,2,26.35,38.57,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2006,3,29.31,17.82,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2006,4,44.91,21.01,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2006,5,39.71,43.44,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2006,6,30.85,30.78,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2006,7,29.69,45.86,Moderate,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2006,8,27.61,33.19,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2006,9,21.76,34.31,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2006,10,20.53,37.33,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2006,11,13.36,14.65,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2006,12,7.58,23.05,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2007,1,15.64,26.89,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2007,2,10.3,35.49,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2007,3,14.31,30.48,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2007,4,17.86,36.83,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2007,5,11.76,36.08,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2007,6,28.81,43.87,Poor,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2007,7,21.81,28.79,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2007,8,12.94,30.8,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2007,9,6.39,43.61,Moderate,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2007,10,18.64,24.39,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2007,11,8.99,18.49,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2007,12,23.06,27.67,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2008,1,33.55,30.49,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2008,2,28.0,24.66,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2008,3,22.03,37.47,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2008,4,14.37,17.89,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2008,5,38.91,42.07,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2008,6,12.15,35.45,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2008,7,12.59,32.64,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2008,8,20.79,37.2,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2008,9,13.32,33.54,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2008,10,21.64,31.07,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2008,11,7.28,28.14,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2008,12,20.1,34.33,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2009,1,18.34,28.14,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2009,2,25.94,38.62,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2009,3,42.44,41.84,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2009,4,12.74,19.67,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2009,5,13.19,41.32,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2009,6,18.96,48.04,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2009,7,29.76,27.31,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2009,8,22.61,36.97,Moderate,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2009,9,20.45,38.8,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2009,10,8.88,33.51,Moderate,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2009,11,25.52,22.46,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2009,12,24.43,20.02,Moderate,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2010,1,30.91,22.85,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2010,2,32.35,16.15,Moderate,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2010,3,27.03,39.46,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2010,4,41.48,29.1,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2010,5,40.53,20.63,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2010,6,38.37,51.78,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2010,7,24.85,33.1,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2010,8,14.22,38.37,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2010,9,21.56,38.36,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2010,10,14.82,14.93,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2010,11,14.62,34.13,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2010,12,9.41,15.3,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2011,1,24.46,14.77,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2011,2,30.68,15.32,Moderate,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2011,3,33.79,17.28,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2011,4,44.62,28.58,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2011,5,37.38,50.47,Poor,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2011,6,32.29,31.25,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2011,7,28.72,36.91,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2011,8,27.35,19.98,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2011,9,6.09,28.79,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2011,10,7.77,16.52,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2011,11,20.64,26.62,Poor,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2011,12,15.26,18.68,Moderate,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2012,1,13.9,35.93,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2012,2,38.92,14.52,Moderate,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2012,3,27.75,44.34,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2012,4,29.54,48.0,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2012,5,31.17,41.66,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2012,6,28.4,38.64,Moderate,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2012,7,9.13,27.21,Poor,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2012,8,26.96,31.22,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2012,9,11.35,20.44,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2012,10,12.16,28.97,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2012,11,25.14,36.5,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2012,12,18.91,19.23,Moderate,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2013,1,26.2,16.26,Moderate,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2013,2,34.37,38.72,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2013,3,30.61,27.25,Moderate,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2013,4,40.36,17.8,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2013,5,22.64,45.63,Poor,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2013,6,13.72,38.96,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2013,7,33.82,46.73,Moderate,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2013,8,17.37,29.86,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2013,9,6.97,40.5,Moderate,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2013,10,24.23,39.97,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2013,11,21.06,35.45,Moderate,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2013,12,12.34,22.57,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2014,1,33.37,27.12,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2014,2,29.71,29.84,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2014,3,13.78,34.74,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2014,4,37.08,33.28,Moderate,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2014,5,28.52,36.91,Moderate,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2014,6,21.48,22.56,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2014,7,28.06,38.98,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2014,8,11.55,20.76,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2014,9,12.78,32.32,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2014,10,13.71,37.47,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2014,11,16.01,31.47,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2014,12,20.83,32.32,Moderate,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2015,1,11.82,34.95,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2015,2,17.01,25.58,Poor,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2015,3,26.5,24.56,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2015,4,18.6,18.77,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2015,5,14.26,22.66,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2015,6,28.74,24.25,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2015,7,31.82,33.86,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2015,8,10.62,22.56,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2015,9,9.18,23.07,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2015,10,7.19,16.55,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2015,11,9.92,21.17,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2015,12,22.37,12.78,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2016,1,24.63,14.24,Moderate,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2016,2,37.3,14.95,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2016,3,37.01,36.96,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2016,4,17.52,28.35,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2016,5,30.7,30.18,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2016,6,31.99,19.07,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2016,7,26.9,48.46,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2016,8,18.76,19.77,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2016,9,16.35,21.98,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2016,10,12.56,13.86,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2016,11,10.01,20.26,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2016,12,26.88,25.9,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2017,1,28.9,24.42,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2017,2,25.52,28.94,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2017,3,24.42,18.57,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2017,4,22.82,37.29,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2017,5,21.88,51.6,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2017,6,16.34,21.36,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2017,7,14.44,22.93,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2017,8,13.16,21.91,Moderate,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2017,9,7.42,30.31,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2017,10,23.83,16.3,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2017,11,24.95,33.4,Moderate,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2017,12,12.54,15.88,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2018,1,32.61,25.83,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2018,2,17.63,33.78,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2018,3,20.78,27.36,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2018,4,18.63,19.99,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2018,5,19.61,37.5,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2018,6,23.79,36.63,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2018,7,16.84,22.0,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2018,8,29.09,26.74,Moderate,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2018,9,10.85,34.93,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2018,10,16.61,25.85,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2018,11,12.71,34.94,Moderate,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2018,12,28.52,14.76,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2019,1,32.82,16.64,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2019,2,31.72,28.56,Moderate,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2019,3,14.6,38.26,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2019,4,15.9,21.58,Moderate,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2019,5,32.2,35.45,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2019,6,35.88,31.63,Moderate,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2019,7,19.55,30.39,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2019,8,13.51,40.54,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2019,9,10.4,41.34,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2019,10,15.63,37.39,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2019,11,8.13,35.16,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2019,12,14.26,15.11,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2020,1,24.34,25.22,Moderate,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2020,2,33.14,17.31,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2020,3,18.23,36.72,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2020,4,29.91,40.99,Moderate,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2020,5,21.36,45.75,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2020,6,34.91,22.22,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2020,7,29.05,22.51,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2020,8,23.0,39.61,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2020,9,19.47,30.78,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2020,10,11.94,18.11,Moderate,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2020,11,17.3,21.98,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2020,12,28.08,15.43,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2021,1,21.29,27.1,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2021,2,35.67,38.01,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2021,3,33.2,41.95,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2021,4,15.49,34.92,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2021,5,24.09,42.78,Moderate,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2021,6,37.3,33.65,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2021,7,34.01,46.33,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2021,8,27.46,44.44,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2021,9,17.44,26.51,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2021,10,11.73,34.58,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2021,11,12.37,21.9,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2021,12,27.44,19.97,Good,Federal Reference Method,EPA_AQS
